As,Au,Co,Cu,Fe,Hg,Mn,Mo,Ni,U,Zn,x,y
4,7,9,26,2.1500001,56,380,3,27,3.20000005,56,471171.0665,6158922.982
5,-1,9,18,2.0999999,64,550,2,22,6,60,471171.3131,6162122.479
3,4,10,32,1.5,50,440,2,39,2,94,471270.9634,6210222.703
4,-1,10,24,3.4000001,54,550,3,12,3,100,471471.0093,6218022.734
4,6,5,43,1.20000005,78,250,3,25,8.60000038,86,471571.3849,6154822.467
5,15,30,58,4.8499999,188,1700,5,54,3,140,471670.902,6178422.838
4,8,9,33,1.5,80,440,4,19,1,86,471971.1831,6214022.481
5,10,10,26,3,132,415,2,34,1,94,472070.9109,6204222.757
3,19,19,55,4.0999999,222,1250,4,46,2.5,126,472071.1228,6189322.928
-1,0,11,10,1.39999998,90,290,2,14,1.20000005,75,472134.2149,6224749.064
-1,22,23,87,3.45000005,322,680,4,37,1.5,118,472271.2416,6196721.986
4,0,12,47,2.25,302,500,2,25,3,106,472370.8625,6193422.405
1,7,15,22,3.3499999,98,615,-2,32,0.5,82,472371.0601,6168722.279
2,11,16,28,3.45000005,156,450,2,40,4,98,472371.1566,6171923.12
2,6,15,33,4,76,540,2,43,1,106,472371.3206,6176022.133
2,3,15,18,2.45000005,22,1500,2,26,1.70000005,100,472471.4856,6152522.957
2,-1,9,16,2.29999995,310,460,-2,14,3.5,64,472570.7361,6221822.242
2,0,11,29,1.5,182,415,2,22,0.2,76,472571.0012,6200622.288
2,-1,11,12,3.25,76,910,2,17,0.2,46,472771.4389,6165423.23
2,6,16,17,2.5999999,43,875,2,31,0.2,104,472870.9028,6118522.154
-1,0,9,19,14,96,615,3,6,3.20000005,48,472886.6249,6231669.533
5,20,15,28,2.5,262,350,2,32,1,104,472971.0818,6185521.927
3,14,10,23,2.1500001,188,450,2,23,2.5,66,473171.357,6182223.01
4,4,14,15,1.70000005,40,890,2,29,0.2,116,473270.9187,6121122.795
4,6,12,30,3.79999995,24,1150,2,33,2.79999995,96,473271.5211,6137823.142
1,3,16,32,3.1500001,20,940,4,21,2.0999999,86,473371.0401,6148722.285
1,4,11,33,3.3499999,26,510,3,22,3.79999995,94,473371.1591,6141522.694
13,0,12,30,2.79999995,82,535,2,30,2.5,96,473470.8486,6207722.077
2,6,13,32,2.25,29,415,2,34,0.5,94,473571.5204,6133322.917
-1,0,15,81,1,40,360,4,38,4.80000019,112,473771.2955,6144722.208
3,-1,7,20,1.79999995,86,430,4,14,0.60000002,66,473970.7638,6215022.809
-1,0,8,27,1.20000005,48,240,3,12,1.60000002,96,474101.8376,6238111.245
-1,0,5,9,1.5,68,190,2,11,0.69999999,79,474912.1815,6231442.353
4,8,11,12,4.5999999,64,560,3,11,1.10000002,98,474971.0511,6226122.95
3,3,7,13,2.79999995,34,1050,2,15,0.2,48,474971.0841,6162523.144
6,-1,10,28,1.60000002,78,440,2,25,0.5,78,474971.2293,6129623.066
3,16,16,30,2.45000005,188,380,2,38,3,106,474971.4778,6175022.524
3,14,12,18,4.3499999,170,755,2,28,1.5,70,475071.4316,6165322.697
10,28,11,22,3.5999999,350,825,2,16,2.5,70,475170.901,6219022.513
3,13,18,26,3.0999999,182,435,3,40,1.5,114,475171.1289,6187222.761
6,7,14,42,2.4000001,40,540,3,32,2,108,475171.3749,6132822.627
2,9,18,32,4.75,78,725,2,32,1.5,126,475470.8458,6206922.199
5,5,12,18,1,32,260,2,27,0.5,90,475470.9056,6118622.776
3,7,9,24,1.85000002,56,460,2,20,2.79999995,88,475471.4192,6154422.604
-1,3,16,25,3.95000005,42,700,3,28,2.5999999,112,475570.7138,6204622.16
2,16,13,33,3,222,295,2,30,1,96,475571.2529,6192422.581
-1,0,9,35,3.4000001,92,975,3,6,2,110,475625.1387,6237950.728
6,23,16,38,2.79999995,322,500,2,37,2,104,475671.1888,6189822.083
10,27,9,18,11,360,1050,3,9,2.5,66,475671.1918,6221822.287
4,5,9,36,2.20000005,14,360,4,22,2.0999999,118,475771.1951,6200422.779
2,-1,14,21,3.3499999,144,405,2,36,2.5,90,475771.3051,6172322.456
2,24,16,66,2.1500001,296,640,3,64,3,122,475771.3709,6178222.176
3,3,10,29,3.25,30,380,2,25,2,100,475771.3761,6196322.494
5,-1,15,29,3.25,210,575,-2,42,1,96,475771.4388,6169622.468
4,2,18,28,2.5999999,16,960,3,22,3.4000001,84,475871.169,6140622.41
2,4,11,49,2.95000005,46,525,5,24,5,114,475971.6254,6143022.411
-1,8,14,48,2.5,85,580,-2,44,3,96,476170.7631,6210122.655
4,-1,10,34,2.45000005,40,350,2,28,2.70000005,102,476171.0922,6151222.431
3,-1,11,38,2.45000005,40,340,2,37,3.4000001,92,476171.2217,6136622.154
3,-1,10,15,2.1500001,44,330,2,12,2.4000001,70,476271.2408,6227722.526
6,16,23,32,3.54999995,222,1000,4,37,1.5,104,476371.0365,6183922.771
6,-1,13,33,1.35000002,51,300,-2,29,3,64,476371.037,6124422.674
-1,4,11,40,2.8499999,46,415,2,29,6.5999999,94,476571.4028,6146922.18
2,3,8,18,2.75,34,605,3,24,2,66,476671.3011,6158222.319
-1,0,10,24,5.69999981,77,555,2,11,2.79999995,91,477215.6069,6242122.671
-1,0,7,26,6.5,84,475,-2,6,4.5,37,477359.8621,6236422.969
-1,0,5,11,0.38,12,285,0,13,0.2,154,477671.4746,6112822.142
6,4,14,45,1,40,345,2,43,2.5,68,477870.9905,6121022.905
2,15,8,26,1.39999998,200,160,2,27,0.5,60,477971.1263,6193222.215
1,7,6,30,1.85000002,46,230,2,24,4.19999981,86,477971.5737,6152922.519
5,7,9,37,3.29999995,76,1000,3,23,7.0999999,114,478171.1827,6162322.373
4,1,5,10,0.64999998,0,190,2,12,4.0999999,44,478171.2421,6222422.167
1,3,8,22,2.25,18,545,3,13,3.20000005,62,478271.1065,6215622.138
6,5,13,49,3.1500001,32,1050,2,35,6.5999999,136,478271.2181,6203522.586
4,4,17,46,4,30,1550,3,45,4,152,478370.9738,6205622.327
-1,0,6,12,6.0999999,84,425,-2,7,2.5999999,41,478497.1659,6235477.674
4,3,7,8,0.68000001,25,260,2,20,1.5,56,478571.4356,6119622.821
2,-1,24,23,12.5,78,1050,4,20,3,144,478670.731,6228522.397
6,17,20,45,5.0999999,182,870,4,28,2.5,96,478770.9908,6181622.141
2,-1,12,21,6.5,90,1250,2,13,1.60000002,96,478871.1479,6225122.252
-1,0,22,34,22,90,2550,4,20,4.4000001,170,478913.9093,6243352.821
2,2,11,37,2.5999999,20,620,2,29,3.20000005,116,478971.1551,6190322.383
4,5,12,105,3.45000005,23,585,3,42,3.5999999,230,478971.1884,6143422.216
3,9,16,39,4.69999981,72,6150,2,15,4,98,478971.5905,6159222.39
-1,0,9,23,12,99,600,2,19,3.9000001,94,479033.9998,6239597.823
-1,-1,7,12,1.75,18,435,3,9,1.10000002,46,479070.9789,6218722.42
4,14,20,25,3.5,182,565,2,36,2.5,98,479170.9258,6172222.532
4,-1,7,50,2,56,240,2,23,3.4000001,74,479171.2169,6151322.978
2,6,7,23,0.64999998,60,235,2,13,1.5,66,479171.3419,6126523.158
4,14,13,32,3.1500001,188,500,3,36,2.5,108,479171.5803,6164423.138
1,5,20,52,4.94999981,32,3050,3,35,2.5999999,132,479371.1102,6200822.634
4,14,17,39,3.3499999,188,435,-2,44,2.5,110,479371.2045,6178422.871
-1,0,9,28,1.04999995,42,470,-2,22,3.20000005,60,479371.4943,6150122.306
1,2,7,17,1.20000005,22,540,-2,9,2.5,36,479471.4556,6123022.865
5,16,16,33,4.3499999,222,870,3,24,6.5,126,479671.2597,6168422.856
2,8,28,38,3.3499999,66,855,3,25,2.5999999,130,479771.3036,6196921.928
4,0,14,40,3.75,26,1000,6,29,3,120,479771.3534,6186321.879
5,13,16,28,3.6500001,182,525,2,37,3,100,479971.2521,6176222.01
2,8,6,16,1.95000005,64,100,2,12,2.5999999,56,480071.2888,6230422.316
